pdf_name,mes,mes_num,dia,precio_ica,precio_libertad,precio_lima
26_abril_2026.pdf,abr,4,17,6.06,5.4,6.48
26_abril_2026.pdf,abr,4,21,5.88,5.25,5.8
26_marzo_2026.pdf,mar,3,11,6.19,5.8,6.27
26_marzo_2026.pdf,mar,3,12,6.66,5.85,6.38
26_marzo_2026.pdf,mar,3,14,7.12,5.85,6.09
26_marzo_2026.pdf,mar,3,16,6.49,6.0,6.12
26_marzo_2026.pdf,mar,3,17,6.67,5.78,6.68
26_marzo_2026.pdf,mar,3,18,6.53,5.8,6.27
26_marzo_2026.pdf,mar,3,20,6.3,5.57,6.68
26_marzo_2026.pdf,mar,3,23,5.87,5.25,6.17
26_marzo_2026.pdf,mar,3,24,5.97,5.3,6.17
26_marzo_2026.pdf,mar,3,25,5.99,5.2,5.56
26_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
26_noviembre_2025.pdf,nov,11,11,4.34,3.7,4.55
26_noviembre_2025.pdf,nov,11,12,4.29,3.7,4.53
26_noviembre_2025.pdf,nov,11,13,4.15,3.7,4.53
26_noviembre_2025.pdf,nov,11,14,4.61,3.7,4.53
26_noviembre_2025.pdf,nov,11,15,4.61,3.7,4.53
26_noviembre_2025.pdf,nov,11,17,4.17,3.7,4.53
