ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2024,      388008601,1,2,80,7,2023, 
2024,      388101201,1,1,72,11,2021, 
2024,      388103301,1,1,82,6,2019, 
2024,      388103601,1,1,28,2,2020, 
2024,      388205401,1,1,43,9,2019, 
2024,      388302201,1,2,56,8,2021, 
2024,      388604601,1,1,86,11,2024, 
2024,      388606101,1,1,83,2,2020, 
2024,      388710001,1,2,75,9,2023, 
2024,      388800601,1,1,83,11,2022, 
2024,      388904101,1,2,86,8,2022, 
2024,      388908901,1,2,53,6,2022, 
2024,      389001501,1,1,42,3,2020, 
2024,      389306801,1,2,55,10,2022, 
2024,      389401301,1,2,29,1,2020,4
2024,      389505401,1,1,78,8,2022, 
2024,      389607201,1,1,80,11,2023, 
2024,      389907801,1,1,66,5,2023, 
2024,      390409301,1,1,26,5,2024, 
2024,      390504301,1,1,80,4,2024, 
2024,      390706701,1,2,62,10,2023, 
2024,      390708801,1,1,86,7,2024, 
2024,      390909901,1,2,58,7,2021, 
2024,      391011101,1,2,81,10,2020, 
2024,      391103801,1,1,83,9,2021, 
2024,      391106401,1,1,52,4,2020, 
2024,      391106901,1,1,81,12,2020, 
2024,      391204001,1,2,73,1,2022, 
2024,      391302801,1,2,26,12,2020,4
2024,      391411701,1,2,85,4,2022, 
2024,      391617601,1,2,74,10,2022, 
2024,      391705701,1,1,50,8,2020, 
2024,      391708801,1,1,25,2,2020, 
2024,      391713001,1,2,30,8,2019,1
2024,      391713001,2,1,64,8,2023, 
2024,      392000201,1,1,73,10,2024, 
2024,      392010301,1,1,50,10,2022, 
2024,      392010301,2,1,4,11,2022, 
2024,      392508201,1,1,27,1,2024, 
2024,      392515201,1,1,25,1,2022, 
2024,      392606501,1,1,65,2,2023, 
2024,      392612201,1,1,71,8,2023, 
2024,      392713401,1,2,94,11,2023, 
2024,      393014001,1,1,84,7,2019, 
2024,      393100101,1,1,92,12,2019, 
2024,      393300101,1,1,68,4,2020, 
2024,      393305901,1,2,59,7,2021, 
2024,      394001001,1,1,55,1,2019, 
2024,      394001001,2,2,17,5,2021,2
2024,      394101201,1,1,76,1,2020, 
2024,      394107101,1,1,30,8,2019, 
2024,      394207301,1,1,19,12,2019, 
2024,      394216001,1,1,42,12,2020, 
2024,      394400201,1,2,82,12,2019, 
2024,      394402401,1,1,65,6,2024, 
2024,      394509801,1,1,77,8,2023, 
2024,      394608001,1,1,32,1,2020, 
2024,      394608001,2,2,11,1,2020, 
2024,      394608201,1,2,89,8,2024, 
2024,      394713901,1,1,42,8,2024, 
2024,      394714501,1,1,21,3,2022, 
2024,      394803901,1,2,78,6,2022, 
2024,      394804501,1,2,60,12,2022, 
2024,      394903001,1,1,82,2,2022, 
2024,      394903401,1,2,80,9,2020, 
2024,      395000501,1,1,75,2,2020, 
2024,      395002301,1,2,77,3,2019, 
2024,      395004501,1,2,73,3,2024, 
2024,      395306701,1,1,67,8,2020, 
2024,      395605201,1,2,80,3,2024, 
2024,      395704901,1,2,73,8,2022, 
2024,      395801701,1,2,63,1,2024, 
2024,      395801901,1,2,50,7,2019, 
2024,      395803401,1,2,56,4,2022, 
2024,      395803501,1,2,84,8,2022, 
